Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C10,C12,C13,C15,C16,C17,C18,C19,C20,C22,C24,C25,C3,C5,C6",C_0402_1005Metric,C1525,16
10k,"R11,R3,R9",R_0402_1005Metric,C11616,3
10uF,"C4,C7",C_0402_1005Metric,C15525,2
10uF,C23,C_0603_1608Metric,C1691,1
10uf,C2,C_0402_1005Metric,C15525,1
1K,"R1,R10,R4",R_0402_1005Metric,C11702,3
1N5819WS,D1,D_SOD-323,C2921026,1
22pF,"C11,C9",C_0402_1005Metric,C1555,2
22uf,C8,C_0402_1005Metric,C105226,1
4.7k,"R12,R13",R_0402_1005Metric,C11663,2
470,"R2,R8",R_0402_1005Metric,C25117,2
5k1,"R5,R6",R_0402_1005Metric,C105873,2
AP2112K-3.3,U4,SOT-23-5,C23380830,1
LED_PWR,D4,LED_0603_1608Metric,C2287,1
LED_USR,D5,LED_0603_1608Metric,C2287,1
LIS3DH,U6,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,C15134,1
SW_Push,SW1,KEY-SMD_4P-L4.7-W3.5-P1.70-LS5.5,C2915174,1
SW_RST,SW2,KEY-SMD_4P-L4.7-W3.5-P1.70-LS5.5,C2915174,1
USB_C_Receptacle_USB2.0_14P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C183603,1
W25Q32JVSSIQ_C179173,U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C179173,1
X322512MSB4SI,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
1uF,C21,C_0402_1005Metric,,1
SK6805,D3,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
SW_Push,SW4,SW_SPST_PTS647_Sx38,,1
Radio Module,U3,rpi_rmc20452t,,1
330R,R7,R_0402_1005Metric,,1
SK6805,D2,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,,1
Conn_01x17_Socket,J1,PinSocket_1x17_P1.00mm_Vertical,,1
SW_Push,SW5,SW_SPST_PTS647_Sx38,,1
1uF,C14,C_0402_1005Metric,,1
SW_Push,SW3,SW_SPST_PTS647_Sx38,,1
USBLC6-2SC6,U5,SOT-23-6,,1
