Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,157.607,-116.078,90.0,top
C10,100nF,C_0402_1005Metric,140.335,-78.105,90.0,top
C11,22pF,C_0402_1005Metric,93.15832,-101.003,45.0,top
C12,100nF,C_0402_1005Metric,82.610589,-108.5,135.0,top
C13,100nF,C_0402_1005Metric,83.660589,-107.989411,135.0,top
C14,1uF,C_0402_1005Metric,85.25,-110.4,-135.0,top
C15,100nF,C_0402_1005Metric,83.861589,-103.546589,135.0,top
C16,100nF,C_0402_1005Metric,82.111589,-105.246589,135.0,top
C17,100nF,C_0402_1005Metric,86.401,-100.986,135.0,top
C18,100nF,C_0402_1005Metric,84.761589,-102.696589,135.0,top
C19,100nF,C_0402_1005Metric,85.561589,-101.846589,135.0,top
C2,10uf,C_0402_1005Metric,156.464,-116.078,-90.0,top
C20,100nF,C_0402_1005Metric,82.961589,-104.396589,135.0,top
C21,1uF,C_0402_1005Metric,87.211589,-100.196589,135.0,top
C22,100nF,C_0402_1005Metric,85.344,-122.964,-90.0,top
C23,10uF,C_0603_1608Metric,102.661403,-99.740403,-45.0,top
C24,100nF,C_0402_1005Metric,103.251,-98.425,-45.0,top
C25,100nF,C_0402_1005Metric,104.098411,-97.748411,-45.0,top
C3,100nF,C_0402_1005Metric,158.623,-116.078,-90.0,top
C4,10uF,C_0402_1005Metric,84.201,-122.964,-90.0,top
C5,100nF,C_0402_1005Metric,136.144,-81.661,90.0,top
C6,100nF,C_0402_1005Metric,82.296,-116.741,-90.0,top
C7,10uF,C_0402_1005Metric,81.321589,-118.576411,45.0,top
C8,22uf,C_0402_1005Metric,141.605,-78.133,90.0,top
C9,22pF,C_0402_1005Metric,97.409,-104.013,-135.0,top
D1,1N5819WS,D_SOD-323,77.865498,-119.046,180.0,top
D2,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,154.099,-118.857,0.0,top
D3,SK6805,LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm,160.925,-118.857,0.0,top
D4,LED_PWR,LED_0603_1608Metric,75.897153,-111.935847,45.0,top
D5,LED_USR,LED_0603_1608Metric,78.280847,-109.552153,45.0,top
H1,MountingHole,MountingHole_2mm,160.147,-108.966,0.0,top
H2,MountingHole,MountingHole_2.7mm_M2.5,154.432,-109.093,0.0,top
H3,MountingHole,MountingHole_3.2mm_M3,147.112,-109.52,0.0,top
J1,Conn_01x17_Socket,PinSocket_1x17_P1.00mm_Vertical,132.05,-107.175,90.0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,70.120498,-123.435,0.0,top
R1,1K,R_0402_1005Metric,96.139,-121.918,90.0,top
R10,1K,R_0402_1005Metric,92.162696,-102.674376,-45.0,top
R11,10k,R_0402_1005Metric,98.044,-95.778376,-135.0,top
R12,4.7k,R_0402_1005Metric,94.869,-93.472,135.0,top
R13,4.7k,R_0402_1005Metric,93.238376,-91.968376,-45.0,top
R2,470,R_0402_1005Metric,75.468816,-114.269185,45.0,top
R3,10k,R_0402_1005Metric,91.059,-122.809,-90.0,top
R4,1K,R_0402_1005Metric,103.251,-115.949,-90.0,top
R5,5k1,R_0402_1005Metric,68.213498,-118.663,90.0,top
R6,5k1,R_0402_1005Metric,74.7,-118.4,0.0,top
R7,330R,R_0402_1005Metric,81.046376,-107.548624,-135.0,top
R8,470,R_0402_1005Metric,122.936,-75.563,-90.0,top
R9,10k,R_0402_1005Metric,129.54,-80.772,0.0,top
SW1,SW_Push,KEY-SMD_4P-L4.7-W3.5-P1.70-LS5.5,98.8,-118.65,180.0,top
SW2,SW_RST,KEY-SMD_4P-L4.7-W3.5-P1.70-LS5.5,107.4,-118.55,0.0,top
SW3,SW_Push,SW_SPST_PTS647_Sx38,141.925,-119.5,180.0,top
SW4,SW_Push,SW_SPST_PTS647_Sx38,123.925,-119.5,180.0,top
SW5,SW_Push,SW_SPST_PTS647_Sx38,132.925,-119.5,180.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,89.148747,-106.755214,135.0,top
U2,W25Q32JVSSIQ_C179173,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,87.575,-117.35,315.0,top
U3,Radio Module,rpi_rmc20452t,131.7,-73.85,0.0,top
U4,AP2112K-3.3,SOT-23-5,81.35,-122.1965,180.0,top
U5,USBLC6-2SC6,SOT-23-6,79.168915,-113.670583,315.0,top
U6,LIS3DH,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,100.761241,-96.524652,-135.0,top
X1,X322512MSB4SI,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.807178,-102.350223,-135.0,top
